Survived,Sex,Age,Category,Passenger/Crew,Accompagné,Naufrage
0,M,38.0,4,Crew,0,Lusitania
0,M,37.0,4,Crew,0,Lusitania
1,M,30.0,4,Crew,0,Lusitania
1,M,25.0,4,Crew,0,Lusitania
1,M,27.0,4,Crew,0,Lusitania
0,M,48.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,24.0,1,Crew,0,Lusitania
1,M,19.0,1,Crew,0,Lusitania
0,M,57.0,1,Crew,0,Lusitania
0,M,50.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,25.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,56.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,41.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,19.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,33.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,50.0,1,Crew,0,Lusitania
1,M,29.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,18.0,1,Crew,0,Lusitania
1,M,20.0,1,Crew,0,Lusitania
1,M,21.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,26.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,17.0,1,Crew,0,Lusitania
0,M,33.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,27.0,1,Crew,0,Lusitania
1,M,25.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
1,M,58.0,1,Crew,0,Lusitania
1,M,24.5,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,38.0,1,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,18.0,4,Crew,0,Lusitania
0,M,26.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,47.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
0,M,24.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,54.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,54.0,4,Crew,0,Lusitania
0,M,35.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
1,M,43.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
0,M,48.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
0,M,59.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,53.0,4,Crew,0,Lusitania
1,M,44.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
0,M,35.0,4,Crew,0,Lusitania
0,M,32.0,4,Crew,0,Lusitania
1,M,31.0,4,Crew,0,Lusitania
