Survived,Category,Sex_male,Age,Accompagné,Passenger/Crew,Naufrage,Jour,Beaufort,Hauteur_mer
0,3.0,0,22.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,38.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,26.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,35.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,35.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,54.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,2.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,27.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,14.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,4.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,58.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,20.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,39.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,14.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,55.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,2.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,31.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,31.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,35.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,34.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,15.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,28.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,8.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,38.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,19.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,1.0,0,40.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,38.5,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,2.0,0,66.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,28.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,42.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,27.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,18.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,14.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,40.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,27.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
1,2.0,0,3.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,19.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.5,0,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,1,Passenger,Titanic,0,1,0.1
1,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,27.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,18.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,7.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,21.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,49.0,1,Passenger,Titanic,0,1,0.1
1,2.0,0,29.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,65.0,1,Passenger,Titanic,0,1,0.1
1,1.0,0,35.0,0,Passenger,Titanic,0,1,0.1
1,2.0,0,21.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,28.5,0,Passenger,Titanic,0,1,0.1
1,2.0,0,5.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,11.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,22.0,0,Passenger,Titanic,0,1,0.1
1,1.0,0,38.0,0,Passenger,Titanic,0,1,0.1
0,1.0,0,45.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,4.0,1,Passenger,Titanic,0,1,0.1
0,1.0,0,47.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,10.5,1,Passenger,Titanic,0,1,0.1
1,2.0,0,29.0,0,Passenger,Titanic,0,1,0.1
0,3.0,0,19.0,0,Passenger,Titanic,0,1,0.1
1,3.0,0,17.0,1,Passenger,Titanic,0,1,0.1
0,3.0,0,26.0,1,Passenger,Titanic,0,1,0.1
0,2.0,0,32.0,0,Passenger,Titanic,0,1,0.1
