Survived,Pclass,Sex,Age,SibSp,Parch,Accompagné,Passenger/Crew,Naufrage
0,3,M,22.0,1,0,1,Passenger,Titanic
1,1,F,38.0,1,0,1,Passenger,Titanic
1,3,F,26.0,0,0,0,Passenger,Titanic
1,1,F,35.0,1,0,1,Passenger,Titanic
0,3,M,35.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,54.0,0,0,0,Passenger,Titanic
0,3,M,2.0,3,1,1,Passenger,Titanic
1,3,F,27.0,0,2,1,Passenger,Titanic
1,2,F,14.0,1,0,1,Passenger,Titanic
1,3,F,4.0,1,1,1,Passenger,Titanic
1,1,F,58.0,0,0,0,Passenger,Titanic
0,3,M,20.0,0,0,0,Passenger,Titanic
0,3,M,39.0,1,5,1,Passenger,Titanic
0,3,F,14.0,0,0,0,Passenger,Titanic
1,2,F,55.0,0,0,0,Passenger,Titanic
0,3,M,2.0,4,1,1,Passenger,Titanic
1,2,M,31.0,0,0,0,Passenger,Titanic
0,3,F,31.0,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,2,M,35.0,0,0,0,Passenger,Titanic
1,2,M,34.0,0,0,0,Passenger,Titanic
1,3,F,15.0,0,0,0,Passenger,Titanic
1,1,M,28.0,0,0,0,Passenger,Titanic
0,3,F,8.0,3,1,1,Passenger,Titanic
1,3,F,38.0,1,5,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,19.0,3,2,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,1,M,40.0,0,0,0,Passenger,Titanic
1,1,F,38.5,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,2,M,66.0,0,0,0,Passenger,Titanic
0,1,M,28.0,1,0,1,Passenger,Titanic
0,1,M,42.0,1,0,1,Passenger,Titanic
1,3,M,27.0,0,0,0,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
0,3,F,18.0,2,0,1,Passenger,Titanic
1,3,F,14.0,1,0,1,Passenger,Titanic
0,3,F,40.0,1,0,1,Passenger,Titanic
0,2,F,27.0,1,0,1,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,F,3.0,1,2,1,Passenger,Titanic
1,3,F,19.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
0,3,M,27.0,2,0,1,Passenger,Titanic
0,3,F,18.0,1,0,1,Passenger,Titanic
0,3,M,7.0,4,1,1,Passenger,Titanic
0,3,M,21.0,0,0,0,Passenger,Titanic
1,1,F,49.0,1,0,1,Passenger,Titanic
1,2,F,29.0,1,0,1,Passenger,Titanic
0,1,M,65.0,0,1,1,Passenger,Titanic
1,1,M,35.0,0,0,0,Passenger,Titanic
1,2,F,21.0,0,0,0,Passenger,Titanic
0,3,M,28.5,0,0,0,Passenger,Titanic
1,2,F,5.0,1,2,1,Passenger,Titanic
0,3,M,11.0,5,2,1,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
1,1,F,38.0,0,0,0,Passenger,Titanic
0,1,M,45.0,1,0,1,Passenger,Titanic
0,3,M,4.0,3,2,1,Passenger,Titanic
0,1,M,47.0,0,0,0,Passenger,Titanic
1,3,M,10.5,1,1,1,Passenger,Titanic
1,2,F,29.0,0,0,0,Passenger,Titanic
0,3,M,19.0,0,0,0,Passenger,Titanic
1,3,F,17.0,4,2,1,Passenger,Titanic
0,3,M,26.0,2,0,1,Passenger,Titanic
0,2,M,32.0,0,0,0,Passenger,Titanic
0,3,F,16.0,5,2,1,Passenger,Titanic
0,2,M,21.0,0,0,0,Passenger,Titanic
0,3,M,26.0,1,0,1,Passenger,Titanic
1,3,M,32.0,0,0,0,Passenger,Titanic
0,3,M,25.0,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
0,3,M,26.5,0,0,0,Passenger,Titanic
1,2,M,0.83,0,2,1,Passenger,Titanic
1,3,F,30.0,0,0,0,Passenger,Titanic
0,3,M,22.0,0,0,0,Passenger,Titanic
1,3,M,29.0,0,0,0,Passenger,Titanic
1,3,F,22.0,0,0,0,Passenger,Titanic
